문서 이름,카테고리,검토자,생성자,생성 일시,최종 편집자:,최종 업데이트 시간,상태,Assignee
카드목록,카드,,Seongmin Lee,2026년 5월 17일 오전 12:53,Seongmin Lee,2026년 5월 25일 오후 10:43,진행 중,
A. 일반형 캐릭터,캐릭터,,Teje,2026년 5월 16일 오전 7:50,Teje,2026년 8월 3일 오전 2:19,시작 전,
B. 인게임 UI,UI/UX,,Teje,2026년 5월 16일 오전 6:49,Teje,2026년 5월 16일 오전 7:46,시작 전,
A. 시작 및 설정 UI,UI/UX,,Teje,2026년 5월 16일 오전 6:49,Teje,2026년 8월 3일 오전 2:20,시작 전,
E. 맵/스테이지 시스템,게임 시스템,,Teje,2026년 5월 16일 오전 6:46,Teje,2026년 8월 3일 오전 2:16,완료,
D. 적/보스 시스템,게임 시스템,,Teje,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 1:53,완료,
B. 캐릭터 시스템,게임 시스템,,Teje,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 1:53,완료,
C. 카드 및 세트 시스템,게임 시스템,,Teje,2026년 5월 16일 오전 6:44,Teje,2026년 6월 23일 오전 5:00,진행 중,
B. 게임 흐름도,게임 개요,,Teje,2026년 5월 16일 오전 6:44,Teje,2026년 8월 3일 오전 2:18,완료,
A. 전투 시스템,게임 시스템,,Teje,2026년 5월 16일 오전 6:38,Teje,2026년 8월 5일 오후 5:41,진행 중,
B. 기믹형 캐릭터,캐릭터,,Teje,2026년 8월 3일 오전 2:18,Teje,2026년 8월 3일 오전 2:19,시작 전,
A. 게임 플레이 요약,게임 개요,,Teje,2026년 6월 23일 오전 4:24,Teje,2026년 8월 3일 오전 2:17,진행 중,
맵 목록,맵/스테이지 목록,,Teje,2026년 8월 3일 오전 1:58,Teje,2026년 8월 5일 오후 5:42,진행 중,
몹 패턴,적 및 맵 패턴,,Teje,2026년 5월 17일 오전 1:19,Teje,2026년 8월 3일 오전 1:53,완료,
